campaign_id,campaign_name,channel,campaign_start_date,campaign_end_date,campaign_type,target_segment,discount_percentage,conversions,revenue_generated,impressions,clicks,campaign_cost,roi
CAMP1001,Direct/App Festival Special Jan 2023,Direct/App,2023-01-06,2023-01-23,New Product Launch,Premium,20,27,698500.58,606,166,97919.42,6.133
CAMP1002,Social Media - Instagram Flash Sale Jan 2023,Social Media - Instagram,2023-01-02,2023-01-11,Loyalty Program,Premium,25,10,262727.62,18769,359,83998.79,2.128
CAMP1003,Organic Search New Product Launch Jan 2023,Organic Search,2023-01-03,2023-01-18,Seasonal Sale,Regular,30,40,1640037.86,2155,452,418495.64,2.919
CAMP1004,SMS Marketing Festival Special Jan 2023,SMS Marketing,2023-01-01,2023-01-11,Festival Special,All,25,2,11607.02,296,30,13777.19,-0.158
CAMP1005,Email Marketing New Product Launch Feb 2023,Email Marketing,2023-02-02,2023-02-19,Loyalty Program,Budget,15,43,991507.43,2480,393,163106.97,5.079
CAMP1006,Referral Clearance Sale Feb 2023,Referral,2023-02-09,2023-03-01,Clearance Sale,Budget,30,69,1600898.27,1622,413,347269.18,3.61
CAMP1007,Affiliate Seasonal Sale Feb 2023,Affiliate,2023-02-05,2023-02-21,Loyalty Program,Premium,15,51,1168263.89,13344,840,520021.92,1.247
CAMP1008,Social Media - Facebook Flash Sale Feb 2023,Social Media - Facebook,2023-02-09,2023-02-20,Clearance Sale,Budget,15,33,772654.06,72338,1384,708602.54,0.09
CAMP1009,Referral New Product Launch Mar 2023,Referral,2023-03-09,2023-03-22,Loyalty Program,Premium,25,60,1774081.65,1414,351,354421.03,4.006
CAMP1010,Paid Search New Product Launch Mar 2023,Paid Search,2023-03-06,2023-03-19,Loyalty Program,Budget,30,106,2900065.56,55744,2242,831390.79,2.488
CAMP1011,SMS Marketing Clearance Sale Mar 2023,SMS Marketing,2023-03-01,2023-03-19,New Product Launch,All,30,35,723620.88,4881,508,243708.57,1.969
CAMP1012,Email Marketing Flash Sale Apr 2023,Email Marketing,2023-04-05,2023-04-11,Retargeting,All,20,41,779255.09,2511,360,237370.67,2.283
CAMP1013,Influencer Marketing Loyalty Program Apr 2023,Influencer Marketing,2023-04-02,2023-04-13,New Product Launch,All,5,51,974491.84,42502,1193,733268.63,0.329
CAMP1014,Affiliate Clearance Sale Apr 2023,Affiliate,2023-04-03,2023-04-08,Loyalty Program,Premium,15,20,839980.06,5588,341,473125.16,0.775
CAMP1015,Social Media - Instagram Retargeting Apr 2023,Social Media - Instagram,2023-04-07,2023-04-26,New Product Launch,Regular,15,165,3433218.09,239714,5127,1285014.33,1.672
CAMP1016,Paid Search Festival Special May 2023,Paid Search,2023-05-02,2023-05-15,Brand Awareness,Regular,10,142,3620311.15,81161,3116,1411920.62,1.564
CAMP1017,SMS Marketing New Product Launch May 2023,SMS Marketing,2023-05-03,2023-05-23,Flash Sale,Budget,5,80,1806924.2,11758,1155,590157.55,2.062
CAMP1018,Affiliate Seasonal Sale May 2023,Affiliate,2023-05-05,2023-05-12,Loyalty Program,All,10,41,1416622.87,11799,692,684571.75,1.069
CAMP1019,Social Media - Facebook Clearance Sale May 2023,Social Media - Facebook,2023-05-01,2023-05-12,New Product Launch,Regular,10,76,1808152.37,177983,3262,733692.76,1.464
CAMP1020,Influencer Marketing New Product Launch May 2023,Influencer Marketing,2023-05-01,2023-05-14,Festival Special,Premium,20,39,1563044.44,38700,1064,1134996.85,0.377
CAMP1021,Influencer Marketing Loyalty Program Jun 2023,Influencer Marketing,2023-06-09,2023-06-22,Brand Awareness,New,25,75,2582913.59,56691,1720,972892.83,1.655
CAMP1022,Email Marketing Retargeting Jun 2023,Email Marketing,2023-06-08,2023-06-22,Festival Special,Regular,25,108,2022429.03,5639,884,382657.02,4.285
CAMP1023,Direct/App Brand Awareness Jun 2023,Direct/App,2023-06-02,2023-06-12,Retargeting,New,10,138,3106824.37,2570,841,470542.46,5.603
CAMP1024,Social Media - Facebook Loyalty Program Jun 2023,Social Media - Facebook,2023-06-01,2023-06-19,Festival Special,New,15,139,3879168.87,318880,5879,2032346.0,0.909
CAMP1025,Social Media - Instagram Clearance Sale Jun 2023,Social Media - Instagram,2023-06-06,2023-06-13,Clearance Sale,Regular,10,81,2474310.91,146454,2727,843059.96,1.935
CAMP1026,Direct/App New Product Launch Jul 2023,Direct/App,2023-07-05,2023-07-20,Retargeting,Premium,30,212,5789300.02,4790,1478,959871.94,5.031
CAMP1027,Paid Search Festival Special Jul 2023,Paid Search,2023-07-06,2023-07-11,Loyalty Program,All,5,65,1291970.54,30083,1291,568805.88,1.271
CAMP1028,Social Media - Instagram Flash Sale Jul 2023,Social Media - Instagram,2023-07-02,2023-07-13,Retargeting,Premium,10,116,2476147.59,208614,4005,1837127.86,0.348
CAMP1029,Email Marketing Retargeting Aug 2023,Email Marketing,2023-08-05,2023-08-16,Festival Special,All,10,84,1858926.61,4658,658,627432.55,1.963
CAMP1030,Organic Search Clearance Sale Aug 2023,Organic Search,2023-08-07,2023-08-13,Flash Sale,Regular,20,139,4239179.87,7298,1412,904722.89,3.686
CAMP1031,Influencer Marketing Loyalty Program Aug 2023,Influencer Marketing,2023-08-02,2023-08-18,Seasonal Sale,New,5,99,2282045.07,75072,2419,2270029.1,0.005
CAMP1032,Direct/App Clearance Sale Aug 2023,Direct/App,2023-08-08,2023-08-14,Loyalty Program,Regular,20,65,2134507.8,1425,415,247079.33,7.639
CAMP1033,Referral Flash Sale Aug 2023,Referral,2023-08-03,2023-08-09,Loyalty Program,Regular,5,54,1541045.55,1382,326,288313.05,4.345
CAMP1034,Email Marketing Loyalty Program Sep 2023,Email Marketing,2023-09-04,2023-09-11,Flash Sale,Budget,10,47,1388836.36,2727,404,248632.38,4.586
CAMP1035,Referral New Product Launch Sep 2023,Referral,2023-09-02,2023-09-15,Seasonal Sale,Budget,20,79,1557037.67,1936,462,313443.48,3.968
CAMP1036,Social Media - Facebook New Product Launch Sep 2023,Social Media - Facebook,2023-09-03,2023-09-11,Festival Special,New,25,45,1512809.34,99068,1947,677675.23,1.232
CAMP1037,Paid Search Seasonal Sale Oct 2023,Paid Search,2023-10-07,2023-10-16,Flash Sale,Premium,15,94,2577586.53,54129,1978,888888.25,1.9
CAMP1038,Referral Brand Awareness Oct 2023,Referral,2023-10-04,2023-10-18,New Product Launch,All,30,68,1965095.91,1553,355,510623.53,2.848
CAMP1039,Social Media - Facebook Clearance Sale Oct 2023,Social Media - Facebook,2023-10-02,2023-10-18,Flash Sale,Budget,10,123,2290345.26,285832,5224,5725863.15,-0.6
CAMP1040,Direct/App Retargeting Oct 2023,Direct/App,2023-10-04,2023-10-11,Flash Sale,Premium,10,84,2214104.96,1858,551,505159.99,3.383
CAMP1041,Organic Search Clearance Sale Oct 2023,Organic Search,2023-10-05,2023-10-18,Festival Special,Premium,5,229,5326635.41,13111,2437,636033.87,7.375
CAMP1042,Affiliate Festival Special Nov 2023,Affiliate,2023-11-06,2023-11-13,Seasonal Sale,All,25,75,1846063.01,21419,1280,1450824.19,0.272
CAMP1043,Social Media - Facebook Brand Awareness Nov 2023,Social Media - Facebook,2023-11-05,2023-11-13,New Product Launch,Budget,20,111,2282681.18,288402,4823,1329287.59,0.717
CAMP1044,Social Media - Instagram Seasonal Sale Nov 2023,Social Media - Instagram,2023-11-08,2023-11-17,Loyalty Program,Regular,25,166,4088006.72,284096,5618,1479378.6,1.763
CAMP1045,Paid Search Clearance Sale Nov 2023,Paid Search,2023-11-06,2023-11-16,New Product Launch,Premium,25,168,4281557.7,79159,3514,7279543.51,-0.412
CAMP1046,SMS Marketing Loyalty Program Nov 2023,SMS Marketing,2023-11-02,2023-11-20,Flash Sale,All,25,72,2282420.29,9597,1028,644043.28,2.544
CAMP1047,Influencer Marketing Seasonal Sale Dec 2023,Influencer Marketing,2023-12-02,2023-12-21,Clearance Sale,New,5,98,2802990.95,79226,2490,1058926.96,1.647
CAMP1048,Social Media - Instagram Clearance Sale Dec 2023,Social Media - Instagram,2023-12-02,2023-12-15,Loyalty Program,Budget,30,128,3293641.18,205393,3998,2618762.22,0.258
CAMP1049,Email Marketing Seasonal Sale Dec 2023,Email Marketing,2023-12-05,2023-12-16,Loyalty Program,Premium,15,73,1978786.35,3730,600,503877.44,2.927
CAMP1050,Paid Search Brand Awareness Dec 2023,Paid Search,2023-12-08,2023-12-19,Flash Sale,All,30,116,3231904.2,55666,2235,1000510.31,2.23
CAMP1051,SMS Marketing Loyalty Program Jan 2024,SMS Marketing,2024-01-01,2024-01-12,New Product Launch,Premium,15,29,1414772.58,4164,442,449507.96,2.147
CAMP1052,Affiliate Loyalty Program Jan 2024,Affiliate,2024-01-08,2024-01-26,New Product Launch,New,30,87,1403004.67,25348,1572,737268.64,0.903
